flow,month,cpa,value_ix,uv_ix,vol_ix,status
I,2024-02-01,108221,124.313434628622,114.965376810209,108.131191926059,def
I,2024-03-01,108221,119.326123373229,115.095947739328,103.675345162946,def
I,2024-04-01,108221,114.840076926436,127.434236093365,90.1171288399459,def
I,2024-05-01,108221,98.8130446561699,127.402331898428,77.5598384195972,def
I,2024-06-01,108221,141.52903784515,130.938879254434,108.08786201605,def
I,2024-07-01,108221,188.056023425675,145.776752067101,129.002750545949,def
I,2024-08-01,108221,184.930314983431,158.214912731936,116.885512400509,def
I,2024-09-01,108221,133.011699427902,143.601997132277,92.6252416651916,def
I,2024-10-01,108221,112.449017619912,143.453381057418,78.3871489377658,def
I,2024-11-01,108221,108.456860941822,143.805505851643,75.4191282328344,def
I,2024-12-01,108221,154.744871439176,142.686839704203,108.450694398685,def
I,2025-01-01,108221,108.008886744102,173.75608601331,62.1612095168366,def
I,2025-02-01,108221,192.717762355217,168.306432012832,114.504096105283,def
I,2025-03-01,108221,141.923245622963,172.25864209438,82.3896213151366,def
I,2025-04-01,108221,139.556333624494,170.732481049113,81.7397662667858,def
I,2025-05-01,108221,99.9016957070288,170.558850148729,58.5731515580156,def
I,2025-06-01,108221,145.42853071548,180.940046207764,80.3738757546988,def
I,2025-07-01,108221,105.258591623154,170.175451085905,61.8529811057138,def
I,2025-08-01,108221,159.011926781879,181.596497476853,87.5633208487261,def
I,2025-09-01,108221,182.845081928191,173.775442884214,105.219169861232,def
I,2025-10-01,108221,131.868687195854,157.30791848689,83.8283831723649,def
I,2025-11-01,108221,164.254866436343,161.112065833908,101.950690309603,def
I,2025-12-01,108221,125.782851852318,148.106670437371,84.9272008284729,def
I,2026-01-01,108221,137.279944293169,155.122155981026,88.497958782951,prov
I,2026-02-01,108221,158.053290547299,152.61737752808,103.561789672615,prov
I,2026-03-01,108221,170.27135261438,147.065582478756,115.779196248795,prov
I,2026-04-01,108221,196.724431208591,161.966626559822,121.459853562675,prov
I,2026-05-01,108221,168.055272077066,144.124327598514,116.604373222681,prov
I,2026-06-01,108221,149.765529984964,149.231951363274,100.357547929767,prov
I,2026-07-01,108221,110.517708784493,141.667215791305,78.0121964351485,prov
I,2026-08-01,108221,162.440368716741,134.766022720616,120.535103971753,prov
I,2012-01-01,108222,100,100,100,def
I,2012-02-01,108222,100,100,100,def
I,2012-03-01,108222,100,100,100,def
I,2012-04-01,108222,100,100,100,def
I,2012-05-01,108222,100,100,100,def
I,2012-06-01,108222,100,100,100,def
I,2012-07-01,108222,100,100,100,def
I,2012-08-01,108222,100,100,100,def
I,2012-09-01,108222,100,100,100,def
I,2012-10-01,108222,100,100,100,def
I,2012-11-01,108222,100,100,100,def
I,2012-12-01,108222,100,100,100,def
I,2013-01-01,108222,112.608283996582,107.705131530762,104.552383422852,def
I,2013-02-01,108222,97.9481735229492,100.540390014648,97.4217224121094,def
I,2013-03-01,108222,93.4809417724609,96.5933074951172,96.7778701782227,def
I,2013-04-01,108222,91.2315139770508,91.4836120605469,99.7244338989258,def
I,2013-05-01,108222,81.0570907592773,97.318229675293,83.2907638549805,def
I,2013-06-01,108222,83.8123550415039,93.1043014526367,90.0198516845703,def
I,2013-07-01,108222,98.3021240234375,96.819206237793,101.531639099121,def
I,2013-08-01,108222,104.292266845703,107.74967956543,96.791259765625,def
I,2013-09-01,108222,139.901733398438,118.623931884766,117.937187194824,def
I,2013-10-01,108222,157.321243286133,119.63175201416,131.504592895508,def
I,2013-11-01,108222,137.318801879883,115.630844116211,118.756202697754,def
I,2013-12-01,108222,126.263526916504,110.915306091309,113.837783813477,def
I,2014-01-01,108222,127.978813171387,121.993804931641,104.905990600586,def
I,2014-02-01,108222,127.759727478027,114.283432006836,111.7919921875,def
I,2014-03-01,108222,109.312286376953,114.488426208496,95.4788970947266,def
I,2014-04-01,108222,105.920066833496,102.10230255127,103.739158630371,def
I,2014-05-01,108222,83.9162139892578,102.818840026855,81.6156005859375,def
I,2014-06-01,108222,90.8185348510742,100.924301147461,89.9867858886719,def
I,2014-07-01,108222,107.446769714355,106.463600158691,100.923477172852,def
I,2014-08-01,108222,123.351608276367,122.227279663086,100.919868469238,def
I,2014-09-01,108222,156.892364501953,127.075469970703,123.463928222656,def
I,2014-10-01,108222,157.16650390625,122.539535522461,128.257797241211,def
I,2014-11-01,108222,124.460838317871,116.920204162598,106.44938659668,def
I,2014-12-01,108222,139.733032226563,118.149528503418,118.267959594727,def
I,2015-01-01,108222,120.994148254395,115.575004577637,104.688850402832,def
I,2015-02-01,108222,115.330696105957,116.5625,98.943229675293,def
I,2015-03-01,108222,103.175727844238,111.056755065918,92.9036026000977,def
I,2015-04-01,108222,88.3294830322266,102.001281738281,86.5964431762695,def
I,2015-05-01,108222,82.2348175048828,100.528305053711,81.8026504516602,def
I,2015-06-01,108222,89.8158264160156,98.9016952514648,90.813232421875,def
I,2015-07-01,108222,97.418342590332,103.169105529785,94.4258880615234,def
I,2015-08-01,108222,119.904846191406,118.315315246582,101.343467712402,def
I,2015-09-01,108222,144.631332397461,123.02392578125,117.563583374023,def
I,2015-10-01,108222,135.477798461914,122.726272583008,110.390213012695,def
I,2015-11-01,108222,136.07453918457,115.64574432373,117.664970397949,def
I,2015-12-01,108222,149.822418212891,117.345085144043,127.676773071289,def
I,2016-01-01,108222,118.019660949707,113.109855651855,104.340744018555,def
I,2016-02-01,108222,124.413436889648,116.339385986328,106.940086364746,def
I,2016-03-01,108222,106.05574798584,108.572212219238,97.6822204589844,def
I,2016-04-01,108222,99.7063522338867,103.13166809082,96.6786880493164,def
I,2016-05-01,108222,97.8902969360352,103.379402160645,94.6903381347656,def
I,2016-06-01,108222,107.457107543945,102.396255493164,104.942420959473,def
I,2016-07-01,108222,98.4761962890625,108.578079223633,90.6962051391602,def
I,2016-08-01,108222,144.284103393555,119.216125488281,121.027336120605,def
I,2016-09-01,108222,158.323333740234,123.743453979492,127.944808959961,def
I,2016-10-01,108222,146.882385253906,123.610717773438,118.82657623291,def
I,2016-11-01,108222,146.460632324219,117.336982727051,124.820518493652,def
I,2016-12-01,108222,136.902206420898,118.496307373047,115.53288269043,def
I,2017-01-01,108222,110.118843078613,113.520599365234,97.0034027099609,def
I,2017-02-01,108222,124.342330932617,115.540328979492,107.618118286133,def
I,2017-03-01,108222,113.00887298584,106.917610168457,105.697158813477,def
I,2017-04-01,108222,96.0365447998047,106.630470275879,90.064826965332,def
I,2017-05-01,108222,93.0818862915039,103.517250061035,89.9192047119141,def
I,2017-06-01,108222,92.8648452758789,103.89884185791,89.3800506591797,def
I,2017-07-01,108222,102.111206054688,112.291847229004,90.9337692260742,def
I,2017-08-01,108222,127.466239929199,124.594314575195,102.305023193359,def
I,2017-09-01,108222,156.086776733398,124.779922485352,125.089660644531,def
I,2017-10-01,108222,162.520568847656,124.480430603027,130.559143066406,def
I,2017-11-01,108222,156.337142944336,121.131973266602,129.0634765625,def
I,2017-12-01,108222,137.801193237305,123.704666137695,111.395309448242,def
I,2018-01-01,108222,134.188720703125,117.791572570801,113.920471191406,def
I,2018-02-01,108222,128.243515014648,116.116653442383,110.443687438965,def
I,2018-03-01,108222,114.763031005859,111.141876220703,103.258140563965,def
I,2018-04-01,108222,96.0919494628906,107.724098205566,89.2019119262695,def
I,2018-05-01,108222,93.4196853637695,107.676155090332,86.7598648071289,def
I,2018-06-01,108222,108.290145874023,108.641220092773,99.6768493652344,def
I,2018-07-01,108222,110.7255859375,115.140029907227,96.1660232543945,def
I,2018-08-01,108222,145.175994873047,123.186904907227,117.85018157959,def
I,2018-09-01,108222,139.285980224609,124.918807983398,111.50121307373,def
I,2018-10-01,108222,167.679916381836,125.381629943848,133.735641479492,def
I,2018-11-01,108222,140.054489135742,122.537055969238,114.295616149902,def
I,2018-12-01,108222,133.3544921875,121.551834106445,109.709976196289,def
I,2019-01-01,108222,130.538421630859,114.353561401367,114.153343200684,def
I,2019-02-01,108222,130.691482543945,117.731880187988,111.007720947266,def
I,2019-03-01,108222,109.947860717773,112.731666564941,97.5305938720703,def
I,2019-04-01,108222,108.381828308105,109.821006774902,98.6895294189453,def
I,2019-05-01,108222,94.2701721191406,111.681205749512,84.4100570678711,def
I,2019-06-01,108222,92.0311584472656,106.711494445801,86.2429733276367,def
I,2019-07-01,108222,124.981994628906,111.789680480957,111.80101776123,def
I,2019-08-01,108222,119.943992614746,120.567100524902,99.4831848144531,def
I,2019-09-01,108222,154.30615234375,119.580368041992,129.039703369141,def
I,2019-10-01,108222,172.43505859375,123.596862792969,139.514099121094,def
I,2019-11-01,108222,152.441909790039,123.865570068359,123.070442199707,def
I,2019-12-01,108222,130.304885864258,122.846900939941,106.070960998535,def
I,2020-01-01,108222,114.910446166992,112.87491607666,101.803352355957,def
I,2020-02-01,108222,127.031234741211,114.65355682373,110.795722961426,def
I,2020-03-01,108222,108.639785766602,108.527069091797,100.103858947754,def
I,2020-04-01,108222,87.3980102539063,107.645202636719,81.190803527832,def
I,2020-05-01,108222,97.4341201782227,108.895515441895,89.4748611450195,def
I,2020-06-01,108222,101.039825439453,103.49097442627,97.6315307617188,def
I,2020-07-01,108222,123.650352478027,111.361961364746,111.034637451172,def
I,2020-08-01,108222,132.666427612305,120.748229980469,109.870292663574,def
I,2020-09-01,108222,169.714965820313,121.557250976563,139.617309570313,def
I,2020-10-01,108222,159.985290527344,121.291191101074,131.901824951172,def
I,2020-11-01,108222,160.482116699219,123.212333679199,130.248413085938,def
I,2020-12-01,108222,127.389236450195,118.622222900391,107.390701293945,def
I,2021-01-01,108222,122.418365478516,112.212730407715,109.09489440918,def
I,2021-02-01,108222,137.234146118164,113.386901855469,121.031745910645,def
I,2021-03-01,108222,133.754302978516,109.814254760742,121.800491333008,def
I,2021-04-01,108222,107.264053344727,106.496894836426,100.720352172852,def
