Verkehrsrichtung;Jahr;Periode;Periode_txt;Warengruppe_CPA;Kettenindex_nominal;Kettenindex_Durchschnittswert;Kettenindex_real;Index_nominal_Vorjahr;Index_Durchschnittswert_Vorjahr;Index_real_Vorjahr;Index_nominal_Vorperiode;Index_Durchschnittswert_Vorperiode;Index_real_Vorperiode;Stand;Aktualisierungsdatum
E;2018;2;Februar;10891;126.4017333984375;98.25332641601562;128.6488037109375;150.28628540039062;110.3051986694336;136.24588012695312;98.68148040771484;110.84039306640625;89.03025817871094;def;2026-09-10T00:00:00.000+02:00
E;2018;3;März;10891;129.5672607421875;92.70374298095703;139.76486206054688;125.51542663574219;103.08338928222656;121.76106262207031;102.50433349609375;94.35176086425781;108.64061737060547;def;2026-09-10T00:00:00.000+02:00
E;2018;4;April;10891;113.84232330322266;99.54489135742188;114.36279296875;139.12867736816406;114.9603500366211;121.02318572998047;87.86349487304688;107.37957763671875;81.82514190673828;def;2026-09-10T00:00:00.000+02:00
E;2018;5;Mai;10891;118.66800689697266;94.11839294433594;126.0837631225586;115.3179931640625;109.89481353759766;104.93488311767578;104.23892211914062;94.54869079589844;110.24893188476562;def;2026-09-10T00:00:00.000+02:00
E;2018;6;Juni;10891;134.75608825683594;99.490234375;135.44654846191406;136.3097381591797;120.08099365234375;113.51483154296875;113.55721282958984;105.70753479003906;107.42584991455078;def;2026-09-10T00:00:00.000+02:00
E;2018;7;Juli;10891;120.46068572998047;92.74463653564453;129.88426208496094;125.846923828125;109.59939575195312;114.824462890625;89.39165496826172;93.21984100341797;95.89337158203125;def;2026-09-10T00:00:00.000+02:00
E;2018;8;August;10891;125.38086700439453;96.61026763916016;129.78005981445312;126.17088317871094;115.94438934326172;108.82017517089844;104.08446502685547;104.16803741455078;99.91976928710938;def;2026-09-10T00:00:00.000+02:00
E;2018;9;September;10891;122.97048950195312;96.89991760253906;126.9046401977539;121.88038635253906;110.3260498046875;110.472900390625;98.07755279541016;100.2998046875;97.78439331054688;def;2026-09-10T00:00:00.000+02:00
E;2018;10;Oktober;10891;144.74691772460938;92.54964447021484;156.3992156982422;137.5155792236328;102.74552917480469;133.8409423828125;117.70866394042969;95.51055145263672;123.24153137207031;def;2026-09-10T00:00:00.000+02:00
E;2018;11;November;10891;134.53424072265625;97.83670043945312;137.50897216796875;105.58926391601562;107.1547622680664;98.53903198242188;92.9444580078125;105.71267700195312;87.9217758178711;def;2026-09-10T00:00:00.000+02:00
E;2018;12;Dezember;10891;103.28973388671875;95.84637451171875;107.76592254638672;96.2135009765625;101.71675109863281;94.58963012695312;76.77579498291016;97.96566009521484;78.37010955810547;def;2026-09-10T00:00:00.000+02:00
E;2018;23;Jahr;10891;125.22574615478516;95.10247802734375;131.67453002929688;124.01034545898438;108.5586929321289;114.23345184326172;;;;def;2026-09-10T00:00:00.000+02:00
E;2018;24;1. Quartal;10891;128.01988220214844;92.85999298095703;137.8633270263672;131.4569549560547;104.59076690673828;125.68695831298828;;;;def;2026-09-10T00:00:00.000+02:00
E;2018;25;2. Quartal;10891;122.42213439941406;97.7989730834961;125.17733001708984;129.50592041015625;115.24776458740234;112.37174987792969;108.01124572753906;107.08391571044922;100.86598205566406;def;2026-09-10T00:00:00.000+02:00
E;2018;26;3. Quartal;10891;122.93734741210938;95.43553924560547;128.81715393066406;124.60359954833984;112.00919342041016;111.24408721923828;100.42084503173828;97.58338165283203;102.9077377319336;def;2026-09-10T00:00:00.000+02:00
E;2018;27;4. Quartal;10891;127.52362823486328;95.11605072021484;134.0716094970703;112.51221466064453;104.14628601074219;108.03286743164062;103.73058319091797;99.66523742675781;104.0790023803711;def;2026-09-10T00:00:00.000+02:00
E;2018;28;1. Halbjahr;10891;125.22100830078125;95.10367584228516;131.6678924560547;130.49595642089844;109.67510986328125;118.98411560058594;;;;def;2026-09-10T00:00:00.000+02:00
E;2018;29;2. Halbjahr;10891;125.23048400878906;95.15684509277344;131.6042938232422;118.1393051147461;107.62063598632812;109.77384185791016;118.1393051147461;107.62063598632812;109.77384185791016;def;2026-09-10T00:00:00.000+02:00
E;2019;1;Januar;10891;112.71435546875;98.41304779052734;114.53191375732422;87.99578094482422;111.02057647705078;79.26078796386719;109.12445068359375;102.67790985107422;106.27841186523438;def;2026-09-10T00:00:00.000+02:00
E;2019;2;Februar;10891;114.8719711303711;97.53336334228516;117.777099609375;90.87847137451172;99.2672348022461;91.54931640625;101.91423034667969;99.10612487792969;102.83343505859375;def;2026-09-10T00:00:00.000+02:00
E;2019;3;März;10891;132.93807983398438;93.11674499511719;142.7649688720703;102.60160064697266;100.44550323486328;102.14653778076172;115.72718048095703;95.4716796875;121.21623229980469;def;2026-09-10T00:00:00.000+02:00
