Verkehrsrichtung;Jahr;Periode;Periode_txt;Warengruppe_CPA;Kettenindex_nominal;Kettenindex_Durchschnittswert;Kettenindex_real;Index_nominal_Vorjahr;Index_Durchschnittswert_Vorjahr;Index_real_Vorjahr;Index_nominal_Vorperiode;Index_Durchschnittswert_Vorperiode;Index_real_Vorperiode;Stand;Aktualisierungsdatum
I;2013;26;3. Quartal;0;97.82547760009766;101.25770568847656;96.61039733886719;97.82547760009766;101.25770568847656;96.61039733886719;96.78461456298828;101.3393325805664;95.50547790527344;def;2026-09-10T00:00:00.000+02:00
I;2013;27;4. Quartal;0;104.77021026611328;103.9144058227539;100.82357025146484;104.77021026611328;103.9144058227539;100.82357025146484;107.09910583496094;102.62369537353516;104.36099243164062;def;2026-09-10T00:00:00.000+02:00
I;2013;28;1. Halbjahr;0;99.67630767822266;101.72747802734375;97.98365783691406;99.67630767822266;101.72747802734375;97.98365783691406;;;;def;2026-09-10T00:00:00.000+02:00
I;2013;29;2. Halbjahr;0;101.29784393310547;102.697509765625;98.63709259033203;101.29784393310547;102.697509765625;98.63709259033203;101.29784393310547;102.697509765625;98.63709259033203;def;2026-09-10T00:00:00.000+02:00
I;2014;1;Januar;0;99.36698150634766;103.90351104736328;95.63389587402344;100.64154815673828;100.28913116455078;100.35140991210938;102.49249267578125;96.4139175415039;106.30467224121094;def;2026-09-10T00:00:00.000+02:00
I;2014;2;Februar;0;97.89022064208984;103.05826568603516;94.98531341552734;103.39033508300781;99.00787353515625;104.42637634277344;98.51383209228516;99.18650817871094;99.32180786132812;def;2026-09-10T00:00:00.000+02:00
I;2014;3;März;0;103.92413330078125;103.26117706298828;100.64202117919922;102.47136688232422;98.39994049072266;104.13763427734375;106.1639633178711;100.19688415527344;105.95535278320312;def;2026-09-10T00:00:00.000+02:00
I;2014;4;April;0;99.27153015136719;100.06237030029297;99.20965576171875;94.53630828857422;98.1791763305664;96.2895736694336;95.52307891845703;96.9022216796875;98.57676696777344;def;2026-09-10T00:00:00.000+02:00
I;2014;5;Mai;0;98.31258392333984;100.85237121582031;97.48168182373047;95.426025390625;101.193115234375;94.30091094970703;99.03401947021484;100.78950500488281;98.25826263427734;def;2026-09-10T00:00:00.000+02:00
I;2014;6;Juni;0;105.44318389892578;100.70687103271484;104.70307159423828;110.76837921142578;100.80224609375;109.8868179321289;107.25298309326172;99.85572052001953;107.40795135498047;def;2026-09-10T00:00:00.000+02:00
